// BANZAI Defenceless Profile - Who needs defences anyway??

plan easy	
weight	CORCRAB	0.50
weight	ARMDECOM	0.05
weight	CORDECOM	0.05
weight	corflam	0.10
weight	NSAAGRIZ	0.50
weight	ArmHH	0.95
weight	ArmOS	0.50
weight	COROS	0.50
weight	CORSMK	0.50
weight	armMech	1.75
weight	ARMSNIPE	0.00
weight	corzlot	0.10
weight	ASNIPER	0.10
weight	SOULREAVER	0.00
weight	WARHAMMER	0.75
weight	WRAITH	0.00
weight	CORAMPH	0.00
weight	ARMAMPH	0.00
weight	CORSUMO	0.60
weight	CORCAN	0.95
weight	ARMFIDO	0.95
weight	CORARCH	0.00
weight	ARMVADER	0.00
weight	CORROACH	0.00
weight	CORFAST	0.00
weight	ARMFAST	0.70
weight	CORPYRO	0.20
weight	ARMMAV	0.40
weight	CORHRK	0.60
weight	OPPRESSOR	0.00
weight	ARMZEUS	0.40
weight	CORMORT	0.95
weight	ARMMARK	0.00
weight	CORVOYR	0.00
weight	CORSPEC	0.00
weight	ARMSPY	0.00
weight	CORSPY	0.00
weight	CORMINE1	0.00
weight	CORMINE2	0.00
weight	CORMINE3	0.00
weight	CORMINE4	0.00
weight	CORMINE5	0.00
weight	CORMINE6	0.00
weight	AMINEGUN	0.00
weight	AMINEJAM	0.00
weight	ARMMINE5	0.00
weight	ARMMINE2	0.00
weight	ARMMINE1	0.00
weight	ARMMINE4	0.00
weight	ARMMINE3	0.00
weight	ARMMINE6	0.00
weight	ARMASER	0.00
weight	AJAMMER	0.00
weight	SPOOFER	0.55
weight	ARMASTN	0.00
weight	ARMRAD	0.00
weight	CORRAD	0.00
weight	ARMSONAR	0.00
weight	CORSONAR	0.00
weight	ARMARAD	0.00
weight	CORARAD	0.00
weight	ARMASON	0.00
weight	CORASON	0.00
weight	ARMBEAC	0.00
weight	CORBEAC	0.00
weight	ARMEYE	0.00
weight	ARMAFRAD	0.00
weight	AFLRADAR	0.00
weight	ARMASP	0.60
weight	CORASP	0.60
weight	QuadAirPad	0.10
weight	CORERRP	0.00
weight	ARMPADNS	0.00
weight	CORFUS	0.70
weight	ARMFUS	0.70
weight	TAWF004	0.00
weight	TAWF104	0.00
weight	ARMADVSOL	0.45
weight	CORADVSOL	0.45
weight	APART	0.70
weight	AAFUS	0.50
weight	CAFUS	0.50
weight	ARMCKFUS	0.65
weight	CORCKFUS	0.65
weight	CORMFUS	0.80
weight	ARMMFUS	0.80
weight	ARMSOLAR	5.90
weight	CORSOLAR	5.90
weight	AAISOLAR	0.00
weight	CAISOLAR	0.00
weight	ARMGEO	3.95
weight	CORGEO	3.95
weight	amgeo	3.95
weight	cmgeo	3.95
weight	MLEX	0.60
weight	ARMMEX	1.00
weight	CORMEX	1.00
weight	AAIMEX	0.00
weight	CAIMEX	0.00
weight	CKMMKR	0.00
weight	ARMMAKR	0.60
weight	CORMAKR	0.60
weight	ARMMMKR	0.40
weight	CORMMKR	0.40
weight	ARMMOHO	1.95
weight	CORMOHO	1.95
weight	ARMWIN	5.00
weight	CORWIN	5.00
weight	crnns	0.00
weight	ARMTIDE	0.00
weight	CORTIDE	0.00
weight	ARMUWFUS	0.00
weight	CORUWFUS	0.00
weight	AAITIDE	0.00
weight	CAITIDE	0.00
weight	ARMUWMEX	0.00
weight	CORUWMEX	0.00
weight	AAIUWMEX	0.00
weight	CAIUWMEX	0.00
weight	ARMFMKR	0.00
weight	CORFMKR	0.00
weight	ARMMOHNS	0.00
weight	CORMOHNS	0.00
weight	armUMME	0.00
weight	corUMME	0.00
weight	corshilone	0.00
weight	ARMSFIG	0.00
weight	CORSFIG	0.00
weight	CORHUNT	0.00
weight	ARMSEHAK	0.00
weight	ARMSEAP	0.00
weight	CORSEAP	0.00
weight	CORSUBC	0.00
weight	DECADE	0.00
weight	ARMMCARY	0.00
weight	ARMROY	0.00
weight	CORROY	0.00
weight	ARMMSHIP	0.00
weight	CORPT	0.00
weight	ARMPT	0.00
weight	CORTSHIP	0.00
weight	ARMTSHIP	0.00
weight	CORBARR	0.00
weight	ArmSUBC	0.00
weight	Enabler	0.00
weight	TAWF009	0.00
weight	ArmHCAR	0.00
weight	Whale	0.00
weight	ARMYAMA	0.00
weight	ARMAAS	0.00
weight	CORSHARK	0.00
weight	CORBC	0.00
weight	ARMBATS	0.00
weight	CORBATS	0.00
weight	TAWF006	0.00
weight	ARMCRUS	0.00
weight	CORCRUS	0.00
weight	ARMCARRY	0.00
weight	CORCARRY	0.00
weight	ARMSJAM	0.00
weight	CORSJAM	0.00
weight	ARMSCRAM	0.00
weight	CORMSHIP	0.00
weight	armbcss	0.10
weight	armscarss	0.40
weight	AINO	0.60
weight	arthur	0.40
weight	StorageFacility	0.00
weight	ARMESTOR	0.00
weight	CORESTOR	0.00
weight	ARMMSTOR	0.00
weight	CORMSTOR	0.00
weight	ARMUWES	0.00
weight	CORUWES	0.00
weight	ARMUWMS	0.00
weight	CORUWMS	0.00
weight	ARMARC	0.00
weight	corMsub	0.00
weight	ARMSUB	0.00
weight	CORSUB	0.00
weight	armMsub	0.00
weight	ARMSUBK	0.00
weight	ARMRECL	0.00
weight	CORSSUB	0.00
weight	CORTHRASH	0.50
weight	CORMORAY	0.40
weight	corGFBT	0.60
weight	ARMGUSS	0.80
weight	ARMJANUS	0.10
weight	CorCSFT	0.60
weight	CORGAUSS	0.10
weight	CORRAID	0.30
weight	CORMIST	0.50
weight	CSLICER	0.50
weight	CORGATOR	0.40
weight	ARMFLASH	0.95
weight	CORLEVLR	0.50
weight	TAWF013	0.50
weight	ARMSTUMP	0.35
weight	ARMMLV	0.00
weight	CORMLV	0.00
weight	ARMSAM	0.90
weight	CORFAV	0.00
weight	ARMSONIC	0.50
weight	CORGOL	0.95
weight	NSACSKV	0.50
weight	CORANTAR	0.60
weight	ARMBEAR	0.95
weight	ARMBEHEM	0.95
weight	BOB	0.10
weight	CORSABOT	0.55
weight	ARMGAT	0.70
weight	hellfire	0.40
weight	CORLOKI	0.30
weight	ARMCAMP	0.40
weight	ARMORCA	0.50
weight	NSAAPROF	0.00
weight	CORPULSAR	0.40
weight	ARMSCORP	0.00
weight	ARMSPION	0.10
weight	ARMSABOT	0.40
weight	corartv	0.70
weight	CORTHUG	0.70
weight	XENON	0.90
weight	CORSEAL	0.00
weight	ARMCROC	0.00
weight	CORMABM	0.00
weight	ARMSCAB	0.00
weight	ARMMART	0.70
weight	CORMART	0.00
weight	ARMMANNI	0.40
weight	CORSENT	0.20
weight	ARMYORK	0.10
weight	ARMBULL	0.60
weight	CORREAP	0.20
weight	ARMBOA	0.10
weight	ARMLATNK	0.50
weight	CORETER	0.00
weight	CORVRAD	0.00
weight	ARMJAM	0.00
weight	ARMSEER	0.00
weight	TAWF003	0.80
weight	TAWF103	0.80
weight	CORVROC	0.80
weight	ARMMERL	0.80
weight	ARMSPID	0.05
weight	abigfatm	0.30
weight	clb	0.30
weight  Sagittarius 0.50
weight  AREA51 0.94
weight CORMachn 0.51
weight Cougar 0.70
weight SPLINTER 0.00
weight LION 0.70
weight CANCER 0.90
weight AAIAAP 2.98
weight AAIACK 0.98
weight AAIACV 0.92
weight AAIALAB 0.92
weight AAIAP 0.85
weight AAIAVP 2.96
weight AAICA 2.50
weight AAICK 0.95
weight AAICV 0.90
weight AAILAB 0.89
weight AAIVP 2.50
weight CAIAAP 2.90
weight CAIACK 2.98
weight CAIACV 0.90
weight CAIALAB 2.98
weight CAIAP 0.85
weight CAIAVP 2.95
weight CAICA 2.50
weight CAICK 0.95
weight CAICV 0.90
weight CAILAB 0.94
weight CAIVP 2.50
weight CAIDECOM 0.74
weight CAIGANT 5.99
weight AAIMMKR 0.00
weight CAIMMKR 0.00
weight AAIMEXX 3.50
weight AAISOLRX 0.00
weight CAIMEXX 3.50
weight CAISOLRX 0.00
weight AAIDECOM 0.73
weight ARMSTREM 0.00
weight WATCHER 0.00
weight Spinner 0.70
weight CORFOSS 0.58
weight ARMTERM 0.30
weight NAGA 0.00
weight HYDRA 0.00
weight CASTLE 0.90
weight ARMTRKSA 0.40
weight ARMDSLAYER 0.00
weight CORFURY 0.00
weight BLACKDAWN 0.50
weight CORMEDT 0.60
weight CORSNAPT 0.40
weight CORTNK 0.55
weight CORART 0.60
weight CORMONST 0.55
weight MAMMOTH 0.50
weight CORTERMITE 0.55
weight COREKATY 0.65
weight CETUS 0.40
weight COREMGK 0.55
weight CORPLAS 0.00
weight ARMCRUSH 0.00
weight ALOUETTE 0.45
weight CORWLESP 0.00
weight CORCASAA 0.55
weight ARMILL 0.00
weight ARMSHSTP 0.00
weight ACTUGSAT 0.40
weight CORDDAP 0.50
weight ARMBRIM 0.70
weight TAWF115 0.00
weight EMAN 0.45
weight ASAMURAI 0.45
weight AIKUS 0.95
weight TAWF113 0.70
weight SPOOFERC 0.55
weight HERETIC 0.50
weight HKCORE 0.45
weight CORGARD 0.35
weight COREMECH 0.50
weight CORCRW 0.45
weight BEARCAT 0.55
weight ARMVIND 0.55
weight ARMROGUE 0.50
weight TAWF105 0.00
weight AFATBOY 0.65
weight ARMAMPBD 0.40
weight TAWF116 0.55
weight CORWOLV 0.55
weight CORGRAV 0.40
weight ARMSHLT 0.70
weight ARMBANTH 0.35
weight SUPERJUG 0.40
weight ARMFURY 0.50
weight CORRAGE 0.50
weight CORGARP 0.55
weight CORSC 0.50
weight ARMPINCER 0.50
weight TAWF109 0.00
weight MDVULC 0.00
weight MDBUZZ 0.00
weight MJET 0.40
weight ZULU 0.00
weight ARUA 0.00
weight CORSUPP 0.00
weight ARMFARK 0.40
weight CORNECRO 0.45
weight ARMPOPSOL 0.40
weight CORPOPSOL 0.40
weight DEMOLISH 0.55
weight CORPERP 0.60
weight CORPRO 0.60
weight AAIASER 0.75
weight CAISPEC 0.75
weight AAICKFUS 0.50
weight CAICKFUS 0.50
weight AAIJAM 0.75
weight CAIETER 0.75
weight COREG2 0.50
weight COREG4 0.55
weight ARMAMEX 0.65
weight CORAMEX 0.65
weight CORMOSQ 0.60
weight ZULU 0.00
weight AURA 0.00
weight ARMRAZOR 0.50
weight CORSCREW 0.50
weight AHERMES 0.00
weight ARMMAULER 0.00
weight ARMTORPMEX 0.70
weight CORTORPMEX 0.70
weight BLADE 0.65
weight CORLNC 0.45
weight CORPORC 0.00
weight DICTATOR 0.00
weight KROGTAAR 0.50
weight PACKO 0.00
weight SHIVA 0.40
weight ARMLIBE 0.60
weight ARMTACHI 0.75
weight ARMCLLT 0.00
weight CORCLLT 0.00
weight CORRAG 0.45
weight TERROR 0.70
weight ARMSPARROW 0.55
weight S4A3 0.45
weight COREAASP 0.50
weight CORDCM 0.40
weight AIAREA51 0.70
weight AICASTLE 0.70 
weight ARMAWIND 0.90
weight CORAWIND 0.90
weight COMMANDO 0.65
weight ARMANN2 0.00
weight CORKTHUD 0.50
weight SKULL 1.95
weight ARMATK 0.00
weight CORMISAN 0.60
weight MARAUDER 0.65
weight CORHART 0.70
weight ARMPGH 0.45
weight ARMPRED 0.50
weight ARMKONRAD 0.55
weight CORPIL 0.55
weight ARMAMPCV 0.40
weight CORAMPCV 0.40
weight EMBRYO 0.45
weight CORFFOX 0.60
weight ANIKE 0.55
weight ARMHART 0.70
weight ARMNMIS 0.65
weight CORFGEN 0.50
weight ARMMAGNUM 0.50
weight CORKRIS 0.55
weight IONTANK 0.45
weight MECH 0.60
weight AAIBRAWL 1.00
weight AAIFIG 1.00
weight AAIHAWK 1.00
weight AAILANCE 1.00
weight AAIPNIX 1.00
weight AAITHUND 1.00
weight CAIAPE 1.00
weight CAIHURC 1.00
weight CAISHAD 1.00
weight CAITITAN 1.00
weight CAIVAMP 1.00
weight CAIVENG 1.00
weight GDIMAMMO 0.40
weight AAISEAP 1.00
weight CAISEAP 1.00
weight AAISFIG 1.10
weight CAISFIG 1.20
weight ARROW 0.00
weight FIREWOLF 0.65
weight SAMURAI 0.60
weight CORSTALK 0.60
weight ADVMOHO 1.00
weight ADVMOHOC 1.00
weight CORAASP 0.10
weight CORALT 0.40
weight ARMALT 0.40
weight ARMECHO 0.35
weight CORTAR 0.35
weight CDAEMON 0.75
weight APITBULL 1.45
weight ARMEMAN 0.60
weight ARMMEDT 0.65
weight ARMSPARKLE 0.70
weight ARMTACHI 1.00
weight VC109 0.60
weight TAWF114 0.60
weight CORROMN 0.00
weight PLASMA 0.00
weight CORSCORP 0.00
weight ARMSS 0.00
weight CORSS 0.00
weight CORBUILD 0.00
weight CORDEV1 0.00
weight CORTRUCK 0.00
weight ARMDEV1 0.00
weight ARMBEAC 0.00
weight CORBEAC 0.00
weight ARMGATE 0.00
weight CORGATE 0.00
weight ARMDEV 0.00
weight ARMART 0.95
weight CORMATNK 0.45
weight CORDEF 0.00
weight CORODIN 0.70
weight CRAILGUN 0.70
weight ARMCORV 0.00
weight CORAMECH 0.40
weight CORGBOAT 0.00
weight ABRAMS 0.90
weight T80 0.75
weight CORGAUSS 0.80
weight CORMAK 1.00
weight ARMTHOR 0.85
weight ARMBLITZ 0.55
weight CORBT 0.45
weight CORETTIN 0.60
weight ARMPORK 0.50
weight CORHORG 0.50
weight INTRUDER 0.00
weight ARMFORTGH 0.00
weight ARMFORTGV 0.00
weight CORFGATEEW 0.00
weight CORFGATENS 0.00
weight ARMRECCY 0.60
weight MILAX 0.55
weight ARMCBOMB 0.40
weight DEMOLISH 0.55
weight ARMMOJO 0.75
weight ARMMSPID 0.75
weight CORSTALKER 0.85
weight CORGRUNT 1.00
	
limit	ARMKAM	0
limit	SHRIKE	1
limit	ORCA	1
limit	ARMWASP	2
limit	CORSHAD	3
limit	ARMTHUND	3
limit	CORVENG	0
limit	ARMFIG	0
limit	BLADE	1
limit	CORFINK	0
limit	ARMPEEP	0
limit	ARMATLAS	0
limit	CORVALK	0
limit	CORHORS	0
limit	charpy	2
limit	TAWF108	1
limit	CORHURC	3
limit	KANASHIMI	0
limit	TAWF107	1
limit	TAWF008	1
limit	ARMPERS	4
limit	predator	1
limit	TAWF007	1
limit	ARMTOMCT	2
limit	gryphon	3
limit	ARMCYBR	0
limit	CORWING	0
limit	ARMPNIX	5
limit	ARMFRP	0
limit	Sakura	0
limit	cormlsp	1
limit	ARMBRAWL	7
limit	CORAPE	7
limit	ARMAWAC	0
limit	CORAWAC	0
limit	ARMHAWK	5
limit	CORVAMP	5
limit	ARMMLSP	1
limit	ARMLANCE	2
limit	CORTITAN	2
limit	CORABMB	0
limit	ARMCA	2
limit	CORCA	2
limit	ARMACA	2
limit	CORACA	2
limit	ARMANS	2
limit	CORANS	2
limit	ARMBEAVER	0
limit	CORMUSKRAT	0
limit	ARMCH	2
limit	CORCH	2
limit	aach	0
limit	cach	0
limit	CORBOI	2
limit	ARMJIB	2
limit	ARMNTOW	0
limit	CORNTOW	0
limit	RepairArm	0
limit	ARMCK	2
limit	CORCK	2
limit	ARMCV	2
limit	CORCV	2
limit	ARMACK	2
limit	CORACK	2
limit	ARMCS	0
limit	CORCS	0
limit	ARMACSUB	0
limit	CORACSUB	0
limit	ARMCSA	0
limit	CORCSA	0
limit	ARMACV	1
limit	CORACV	1
limit	TAWF111	0
limit	armarch	0
limit	armcir	0
limit	CHAOSMACHINE	0
limit	corcirc	0
limit	ARMSPAR	0
limit	ARMDEVA	0
limit	TAWF010	0
limit	CORERAD	0
limit	ARMFAMINE	0
limit	cnemesis	0
limit	CorFLA	0
limit	SCREAMER	0
limit	ARMMTLAB	0
limit	CORMTLAB	0
limit	CORFLAK	0
limit	ARMFLAK	0
limit	MERCURY	0
limit	NITFLOWR 0
limit	SKYSWEEPR	0
limit	ARMEMG	0
limit	CORFMD	0
limit	ARMAMD	0
limit	ARMDRAG	0
limit	CORDRAG	0
limit	TAWF005	0
limit	ARMLLT	0
limit	CORLLT	0
limit	CORHLT	0
limit	ARMHLT	0
limit	MEDUSA	0
limit	ARMRL	0
limit	CORRL	0
limit	ARMGUARD	0
limit	CORPUN	0
limit	CORVHLT	0
limit	ARMANNI	0
limit	CORDOOM	0
limit	ARMBRTHA	0
limit	CORINT	0
limit	CORBUZZ	0
limit	ARMVULC	0
limit	CORBBC	0
limit	ARMDEV	0
limit	TAWF001	0
limit	ARMMORTAR	0
limit	CorPestilence	0
limit	ARMSILO	0
limit	CORSILO	0
limit	AAISILO	0
limit	CAISILO	0
limit	ARMHNSILO	0
limit	CORHNSILO	0
limit	ARMPB	0
limit	ARMAMB	0
limit	CORTOAST	0
limit	CORVIPE	0
limit	AGORGON	0
limit	CORTRON	0
limit	ARMEMP	0
limit	CAITRON	0
limit	AAIEMP	0
limit	ARMTARG	0
limit	CORTARG	0
limit	ARMBFORTEW	0
limit	ARMFORTEW	0
limit	ARMFORT	0
limit	CORFORT	0
limit	ARMBFORTNS	0
limit	ARMFORTNS	0
limit	CORFFLAK	0
limit	ARMTRID	0
limit	RESFMDNS	0
limit	CORKRAK	0
limit	ARMFDRAG	0
limit	CORFDRAG	0
limit	ARMFFLAK	0
limit	CORFRT	0
limit	ARMFHLT	0
limit	CORFHLT	0
limit	ARMTL	0
limit	CORTL	0
limit	ARMFRT	0
limit	ARMATL	0
limit	CORATL	0
limit	ARMANINS	0
limit	CORDOMNS	0
limit	CORINTNS	0
limit	ARMBTANS	0
limit	CORBUZNS	0
limit	ARMVCNNS	0
limit	AMDREPNS	0
limit	CORSLONS	0
limit	ARMSLONS	0
limit	CORVIPNS	0
limit	ARMAP	3
limit	ARMHP	2
limit	CORHP	2
limit	ARMLAB	3
limit	CORLAB	3
limit	ARMVP	3
limit	CORVP	3
limit	ARMSY	0
limit	CORSY	0
limit	CORAP	3
limit	ARMAAP	2
limit	CORAAP	2
limit	aahp	2
limit	cahp	2
limit	ARMALAB	3
limit	CORALAB	3
limit	ARMAVP	3
limit	CORAVP	3
limit	ARMASY	0
limit	CORASY	0
limit	CORGANT	0
limit	ARMKUS	0
limit	CORBLAB	0
limit	ARMBLAB	0
limit	ssplant	0
limit	ARMHPNS	0
limit	CORHPNS	0
limit	ARMPLAT	0
limit	CORPLAT	0
limit	HAVOC	4
limit	SABRE	4
limit	CHOPPER	3
limit	cdragon	3
limit	ARMANAC	2
limit	ARMTHOVR	0
limit	CORAH	2
limit	ARMAH	2
limit	NSACLASH	4
limit	BOMBARDIER	3
limit	LOBBER	3
limit	CSPEED	1
limit	NSAAGCH	3
limit	SPEEDER	3
limit	ARMLASHOVER	3
limit	CORELASHOVER	3
limit	ARMSH	2
limit	CORSNAP	2
limit	SPOTTER	0
limit	BLOTTER	0
limit	CONCEALER	0
limit	CORMH	2
limit	NSACBRIM	2
limit	NSAARHOV	2
limit	ARMMH	2
limit	CORSH	0
limit	NSACBEHE	2
limit	NSACANGLR	0
limit	NSAATORPH	0
limit	CORTHOVR	0
limit	armdread	1
limit	armlth	2
limit	armpgh	2
limit	coradvrh	2
limit	CORPHYSET	2
limit	CORARTH	3
limit	ARMARTH	3
limit	CORFLAKH	1
limit	ARMFLAKH	1
limit	armKAAT	3
limit	CORKROG	0
limit	ARMKRYP	0
limit	ARMMedic	0
limit	cAcolyte	0
limit	CORClone	0
limit	CORHelpr	0
limit	CORWarrr	0
limit	ARMClone	0
limit	ARMHelpr	0
limit	ARMMsect	0
limit	AEXXEC	3
limit	ARMFLEA	2
limit	CORRONIN	2
limit	SHAKER	1
limit	CORESOLD	1
limit	ARMJETH	5
limit	ARMHAM	2
limit	CORTHUD	2
limit	CORAK	5
limit	ARMPW	5
limit	ARMWAR	1
limit	CORCRASH	5
limit	ARMROCK	5
limit	CORSTORM	5
limit	ARMFAV	6
limit	CORBANDIT	1
limit	armbighr	0
limit	ARMCAV	1
limit	CORCRAB	1
limit	ARMDECOM	0
limit	CORDECOM	0
limit	corflam	0
limit	NSAAGRIZ	0
limit	ArmHH	1
limit	ArmOS	0
limit	COROS	0
limit	CORSMK	1
limit	armMech	0
limit	ARMSNIPE	1
limit	corzlot	0
limit	ASNIPER	0
limit	SOULREAVER	0
limit	WARHAMMER	0
limit	WRAITH	0
limit	CORAMPH	2
limit	ARMAMPH	2
limit	CORSUMO	2
limit	CORCAN	5
limit	ARMFIDO	5
limit	CORARCH	0
limit	ARMVADER	0
limit	CORROACH	0
limit	CORFAST	0
limit	ARMFAST	0
limit	CORPYRO	3
limit	ARMMAV	3
limit	CORHRK	1
limit	OPPRESSOR	0
limit	ARMZEUS	3
limit	CORMORT	3
limit	ARMMARK	0
limit	CORVOYR	0
limit	CORSPEC	0
limit	ARMSPY	0
limit	CORSPY	0
limit	CORMINE1	0
limit	CORMINE2	0
